,Date,signal,short_mavg,long_mavg,signal_ma
1862,2021-09-03,0.0,297.34505713745324,281.27245272207136,0.0
1863,2021-09-07,0.0,297.6150509982464,281.8050594813308,0.0
1864,2021-09-08,0.0,297.8621881846113,282.32350826932367,0.0
1865,2021-09-09,0.0,297.8038845479816,282.7439728251174,0.0
1866,2021-09-10,0.0,297.60446615818125,283.1092127865247,0.0
1867,2021-09-13,0.0,297.54594464162824,283.50022060195715,0.0
1868,2021-09-14,0.0,297.7596650133705,283.95908786795616,0.0
1869,2021-09-15,0.0,298.43207856678464,284.5467194019354,0.0
1870,2021-09-16,0.0,299.07854739096734,285.12906536866126,0.0
1871,2021-09-17,0.0,299.15392336489305,285.5443028263662,0.0
1872,2021-09-20,0.0,298.6916437866145,285.79094183950997,0.0
1873,2021-09-21,0.0,298.32100988245776,286.0447177818609,0.0
1874,2021-09-22,0.0,298.34567432910615,286.3978239449709,0.0
1875,2021-09-23,0.0,298.46132416048596,286.7685893988758,0.0
1876,2021-09-24,0.0,298.5459605360126,287.1229955032319,0.0
1877,2021-09-27,0.0,298.1292036685575,287.321503050401,0.0
1878,2021-09-28,0.0,296.73784989190176,287.21441814795793,0.0
1879,2021-09-29,0.0,295.5247213307683,287.1238711578746,0.0
1880,2021-09-30,0.0,294.22903486381267,286.9772836161805,0.0
1881,2021-10-01,0.0,293.74055593426056,287.03707861582376,0.0
1882,2021-10-04,0.0,292.7281206406702,286.92645627035165,0.0
1883,2021-10-05,0.0,292.3502053192374,286.97810566458475,0.0
1884,2021-10-06,0.0,292.42256532231596,287.15083466985175,0.0
1885,2021-10-07,0.0,292.65375015862065,287.36771273840566,0.0
1886,2021-10-08,0.0,292.86291739146776,287.57848156559186,0.0
1887,2021-10-11,0.0,292.9931167814545,287.7658485915281,0.0
1888,2021-10-12,0.0,292.982344219679,287.90990933212765,0.0
1889,2021-10-13,0.0,293.2992635852899,288.1465315356901,0.0
1890,2021-10-14,0.0,294.1993337200242,288.55789684454385,0.0
1891,2021-10-15,0.0,295.1527296947912,288.99880091808006,0.0
1892,2021-10-18,0.0,296.30866101385124,289.51404620334324,0.0
1893,2021-10-19,0.0,297.44402767789666,290.0412564789203,0.0
1894,2021-10-20,0.0,298.3931682478217,290.53051696295375,0.0
1895,2021-10-21,0.0,299.5709626780887,291.10036183063465,0.0
1896,2021-10-22,0.0,300.48420467656683,291.6090841357466,0.0
1897,2021-10-25,0.0,301.2123761247807,292.07446218495977,0.0
1898,2021-10-26,0.0,302.0597674797123,292.58250509106125,0.0
1899,2021-10-27,0.0,304.07026709380966,293.444125044207,0.0
1900,2021-10-28,0.0,306.0016708090198,294.3147132430608,0.0
1901,2021-10-29,0.0,308.44151121932146,295.3655662535996,0.0
1902,2021-11-01,0.0,310.4347001619754,296.3234374891936,0.0
1903,2021-11-02,0.0,312.5961577544361,297.36024220450685,0.0
1904,2021-11-03,0.0,314.6346189206803,298.392348057901,0.0
1905,2021-11-04,0.0,316.71132211313034,299.4641129701124,0.0
1906,2021-11-05,0.0,318.5540531079364,300.4949829585204,0.0
1907,2021-11-08,0.0,320.3098566437877,301.5230113324881,0.0
1908,2021-11-09,0.0,321.7993952688585,302.4927860050105,0.0
1909,2021-11-10,0.0,322.65659455686904,303.29017197086847,0.0
1910,2021-11-11,0.0,323.58739437771777,304.11101199072516,0.0
1911,2021-11-12,0.0,324.83811883895453,305.02957506762596,0.0
1912,2021-11-15,0.0,325.9078225042178,305.9039534410511,0.0
1913,2021-11-16,0.0,327.20326891006613,306.8506029149828,0.0
1914,2021-11-17,0.0,328.33819521550623,307.7595998784252,0.0
1915,2021-11-18,0.0,329.5697946248553,308.7035545019533,0.0
1916,2021-11-19,0.0,330.85933659882744,309.6727497371536,0.0
1917,2021-11-22,0.0,331.7136842153453,310.52224936631166,0.0
1918,2021-11-23,0.0,332.28190406872017,311.28725622009955,0.0
1919,2021-11-24,0.0,332.81791355380483,312.0371927677618,0.0
1920,2021-11-26,0.0,332.519063946374,312.53417304686093,0.0
1921,2021-11-29,0.0,332.9105821307967,313.21292887322574,0.0
1922,2021-11-30,0.0,332.68957396004373,313.7024237313853,0.0
1923,2021-12-01,0.0,332.4410418278744,314.16376352972,0.0
1924,2021-12-02,0.0,332.1599892951602,314.5954882256258,0.0
1925,2021-12-03,0.0,331.28856267329974,314.83251700140045,0.0
1926,2021-12-06,0.0,330.8029855083575,315.15244616872457,0.0
1927,2021-12-07,0.0,331.19508340544104,315.70927904926003,0.0
1928,2021-12-08,0.0,331.55459938784696,316.25183460338525,0.0
1929,2021-12-09,0.0,331.7017809798154,316.72643098367064,0.0
1930,2021-12-10,0.0,332.7339931288732,317.45357401356506,0.0
1931,2021-12-13,0.0,333.3688503448361,318.07178302435153,0.0
1932,2021-12-14,0.0,332.88991186798415,318.36102846980333,0.0
1933,2021-12-15,0.0,333.0575387278413,318.8198725663296,0.0
1934,2021-12-16,0.0,332.2806296962835,318.9911435897142,0.0
1935,2021-12-17,0.0,331.4729495150154,319.1266039898059,0.0
1936,2021-12-20,0.0,330.37171657664334,319.1486715862088,0.0
1937,2021-12-21,0.0,330.0782205736222,319.37800502166556,0.0
1938,2021-12-22,0.0,330.37553406251834,319.7673573367463,0.0
1939,2021-12-23,0.0,330.7864358128886,320.18771353687754,0.0
1940,2021-12-27,0.0,331.8972526123308,320.8148205416706,0.0
1941,2021-12-28,0.0,332.7879904587755,321.3904593996517,0.0
1942,2021-12-29,0.0,333.6605639586094,321.969601732254,0.0
1943,2021-12-30,0.0,334.19955856485785,322.45834555174594,0.0
1944,2021-12-31,0.0,334.40150606574934,322.8488148974494,0.0
1945,2022-01-03,0.0,334.4346959642494,323.1840595482255,0.0
1946,2022-01-04,0.0,333.918059183428,323.348170821955,0.0
1947,2022-01-05,0.0,332.24776829765506,323.15188445747214,0.0
1948,2022-01-06,0.0,330.4984574962415,322.8907047511437,0.0
1949,2022-01-07,0.0,328.9309861675444,322.64138936505293,0.0
1950,2022-01-10,0.0,327.53470072431844,322.40557527064783,0.0
1951,2022-01-11,0.0,326.339015987367,322.19640444573747,0.0
1952,2022-01-12,0.0,325.57053722796746,322.08580119413,0.0
1953,2022-01-13,0.0,323.5923896627295,321.59887687297055,0.0
1954,2022-01-14,0.0,322.31692514313914,321.27778209364834,0.0
1955,2022-01-18,-1.0,320.44388407202916,320.7530556655592,-1.0
1956,2022-01-19,0.0,318.81398907205164,320.26226498687487,0.0
1957,2022-01-20,0.0,317.1745621226673,319.7365675535408,0.0
1958,2022-01-21,0.0,315.1607941852035,319.0687768838438,0.0
1959,2022-01-24,0.0,313.37119427396385,318.4293745805577,0.0
1960,2022-01-25,0.0,311.00155579400297,317.58601164122865,0.0
1961,2022-01-26,0.0,309.6404544283911,316.9979547345766,0.0
1962,2022-01-27,0.0,308.70707746739106,316.51463196283896,0.0
1963,2022-01-28,0.0,308.6644995910324,316.28210739390335,0.0
1964,2022-01-31,0.0,308.88502448582244,316.13275256552095,0.0
1965,2022-02-01,0.0,308.8731183219941,315.92506966974923,0.0
1966,2022-02-02,0.0,309.30996338228783,315.85563084680075,0.0
1967,2022-02-03,0.0,308.54234782207,315.44420462576414,0.0
1968,2022-02-04,0.0,308.2945054048639,315.17648062057094,0.0
1969,2022-02-07,0.0,307.5950298622132,314.77573503145715,0.0
