,Date,signal,signal_adx,adx,+DI,-DI
1726,2021-02-22,-1.0,-1.0,64.7687888383486,10.110690947091985,17.361626462675652
1727,2021-02-23,0.0,0.0,63.05406191550036,10.003521257573567,23.07691686440096
1728,2021-02-24,0.0,0.0,62.61887126211896,5.714274251570621,22.92725264320663
1729,2021-02-25,0.0,0.0,61.85030326913973,5.353907931538127,25.143697999767962
1730,2021-02-26,0.0,0.0,60.404472262565285,6.210216923115872,23.769601482810607
1731,2021-03-01,0.0,0.0,58.12532953325195,8.554724740608515,22.97763761481024
1732,2021-03-02,0.0,0.0,56.91692098521556,6.631910286514922,22.81668579131713
1733,2021-03-03,0.0,0.0,56.98708352622136,4.79034386259267,31.30459743173371
1734,2021-03-04,0.0,0.0,57.26501036493958,5.493183301343694,33.148415272658674
1735,2021-03-05,0.0,0.0,56.49575112879148,6.0012820114809875,31.34996433758806
1736,2021-03-08,0.0,0.0,56.29286254617976,4.878038694698568,30.17984997590325
1737,2021-03-09,0.0,0.0,57.226405285023766,6.958043133287234,26.247090293080795
1738,2021-03-10,0.0,0.0,58.18910485083954,8.682218224737325,25.66918210319915
1739,2021-03-11,0.0,0.0,55.77473832913279,10.78571545403784,24.046848475967632
1740,2021-03-12,0.0,0.0,55.41474968702705,11.372633038778094,17.548352683889583
1741,2021-03-15,0.0,0.0,53.55714341947702,11.666261151810467,15.311973461454107
1742,2021-03-16,1.0,1.0,49.647035989375226,17.240954357757314,15.48784490238228
1743,2021-03-17,-1.0,-1.0,45.046956395831174,17.53564995912279,17.707827295023876
1744,2021-03-18,0.0,0.0,41.74981332680146,16.509481563874896,21.18799495273417
1745,2021-03-19,0.0,0.0,40.14436060880958,14.28211133474142,22.941758858348745
1746,2021-03-22,0.0,0.0,36.69821867989675,19.3485630523781,22.133425611520018
1747,2021-03-23,1.0,1.0,33.23367980563131,24.839569967301962,14.918552644511319
1748,2021-03-24,0.0,0.0,30.264266415203355,26.665773252222518,14.359514823403114
1749,2021-03-25,0.0,0.0,26.418483934882506,26.13098451660227,19.70290174615801
1750,2021-03-26,0.0,0.0,22.24219553966964,26.380703957749574,20.02192732073904
1751,2021-03-29,0.0,0.0,18.70115048989398,24.79254375605486,20.901290251881377
1752,2021-03-30,0.0,0.0,15.242460626404107,22.741740748087143,22.278521107627526
1753,2021-03-31,0.0,0.0,13.2336208149291,27.00488202396747,22.11842822600208
1754,2021-04-01,0.0,0.0,13.302114446139894,30.96906250380155,19.670107988225897
1755,2021-04-05,0.0,0.0,15.151019800832342,38.79875222108111,16.86731856319734
1756,2021-04-06,0.0,0.0,16.949188129177564,32.86741783823683,17.492206500053342
1757,2021-04-07,0.0,0.0,20.009597377288312,35.70934172585063,14.117322432597081
1758,2021-04-08,0.0,0.0,23.3962198709285,41.58531123655865,10.453767415934239
1759,2021-04-09,0.0,0.0,26.452161087043667,43.970336044145306,8.991018280287598
1760,2021-04-12,0.0,0.0,30.496162955121033,42.28453738910004,9.493677580520274
1761,2021-04-13,0.0,0.0,33.02019772229897,39.37751310512398,9.755348965128782
1762,2021-04-14,0.0,0.0,35.21294071357335,38.78298256955577,9.486027393689984
1763,2021-04-15,0.0,0.0,40.13728831523938,41.1063027757103,3.827063530867099
1764,2021-04-16,0.0,0.0,45.13660802587613,43.96307750340993,3.902489531755778
1765,2021-04-19,0.0,0.0,50.52139047008268,45.49745236152918,3.9824166687956684
1766,2021-04-20,0.0,0.0,56.35521077599333,46.081701106551215,4.3628487364897
1767,2021-04-21,0.0,0.0,61.3241872604598,40.79411137096449,4.655647737398665
1768,2021-04-22,0.0,0.0,64.30980028635304,34.79195282011022,7.608493034207639
1769,2021-04-23,0.0,0.0,64.91635658300747,22.932501547731317,8.080416618307645
1770,2021-04-26,0.0,0.0,66.46717194073983,25.881495565295033,8.118916803080772
1771,2021-04-27,0.0,0.0,66.94748996575574,24.710458603172814,8.223927134868001
1772,2021-04-28,-1.0,-1.0,63.299638592084875,16.949472050769838,20.20147102488739
1773,2021-04-29,0.0,0.0,60.94235639901381,12.872118517616196,25.57789518560252
1774,2021-04-30,0.0,0.0,59.407579896717166,10.006603913114567,24.40552813793594
1775,2021-05-03,0.0,0.0,58.21292139106969,9.601740778089832,24.425689740953693
1776,2021-05-04,0.0,0.0,57.601952649727686,9.231031432272314,29.345402012249227
1777,2021-05-05,0.0,0.0,55.90840862023645,7.562629499387814,29.56002609771752
1778,2021-05-06,0.0,0.0,54.82981231244132,5.6830575316931995,30.507396877535715
1779,2021-05-07,0.0,0.0,51.97918790089653,11.699489338112567,30.080028751156874
1780,2021-05-10,0.0,0.0,49.62084201360601,11.353434172612006,33.77648546916435
1781,2021-05-11,0.0,0.0,48.11703273522878,10.452156916416834,39.87077070984943
1782,2021-05-12,0.0,0.0,47.944047151449,10.151141200362348,42.84284687150226
1783,2021-05-13,0.0,0.0,48.48460490535448,11.892264532572018,41.505481677126205
1784,2021-05-14,0.0,0.0,48.001968665567055,14.76139543080559,39.39429339797451
1785,2021-05-17,0.0,0.0,48.038921118216244,13.502049076690234,41.13563111679686
1786,2021-05-18,0.0,0.0,50.38357664622252,14.530615568605507,35.213584013734426
1787,2021-05-19,0.0,0.0,51.033329816565704,15.044369754653566,36.959608102842544
1788,2021-05-20,0.0,0.0,49.96362615312119,21.387442150090244,37.10151113671037
1789,2021-05-21,0.0,0.0,48.96878174632702,20.036329446679513,36.91489656554554
1790,2021-05-24,0.0,0.0,45.97118290617745,24.027433373028387,29.47101779317195
1791,2021-05-25,0.0,0.0,42.16130916688807,26.89605535605492,30.279569516104964
1792,2021-05-26,0.0,0.0,37.45253407128012,28.381009534630884,29.938585477798892
1793,2021-05-27,0.0,0.0,35.69501591962536,22.517066097043053,33.34884312356296
1794,2021-05-28,0.0,0.0,32.657346205380314,24.422184466414613,28.18812487499121
1795,2021-06-01,0.0,0.0,28.570355758545595,24.533211969890818,25.150178589080678
1796,2021-06-02,0.0,0.0,24.95120191860243,26.574042293627436,21.297925572211323
1797,2021-06-03,0.0,0.0,21.25246186896725,25.458211164198858,27.40102202568273
1798,2021-06-04,0.0,0.0,18.160061644945596,28.739674346223364,27.506898742546493
1799,2021-06-07,0.0,0.0,15.71648857563811,33.44446818033867,24.037029125072298
1800,2021-06-08,0.0,0.0,14.429604040193277,37.00689796678569,22.89309889610492
1801,2021-06-09,0.0,0.0,14.384462144270177,37.270666148707896,15.405191953906277
1802,2021-06-10,0.0,0.0,14.959789070691102,32.535059414503415,15.693141477434565
1803,2021-06-11,0.0,0.0,15.456110458429004,34.964748054850496,16.23362753748385
1804,2021-06-14,0.0,0.0,17.084526571490795,34.1593915003283,17.218527503290623
1805,2021-06-15,0.0,0.0,18.68722806627746,30.62565209849501,17.09436561010522
1806,2021-06-16,0.0,0.0,19.31494350260865,27.875581196471476,22.1439549447928
1807,2021-06-17,0.0,0.0,19.514814882844796,28.23144417104149,17.97874943848093
1808,2021-06-18,0.0,0.0,20.577271766286447,27.743684194725322,17.725624281645363
1809,2021-06-21,0.0,0.0,23.299514618788113,29.274758792791307,12.740436460314344
1810,2021-06-22,0.0,0.0,26.163841333876274,33.30394562339571,10.77166449941292
1811,2021-06-23,0.0,0.0,31.03331307624301,36.36032623105433,5.956507544504362
1812,2021-06-24,0.0,0.0,35.55160903068174,30.38741941386278,6.346106320234397
1813,2021-06-25,0.0,0.0,38.216590803818,26.56316457153195,8.007234846922737
1814,2021-06-28,0.0,0.0,40.31459386288255,25.82065661080633,7.946332773090768
1815,2021-06-29,0.0,0.0,41.67089066615989,31.83346197059845,7.834988151619523
1816,2021-06-30,0.0,0.0,43.14743821933504,28.621430076228076,8.168702063109274
1817,2021-07-01,0.0,0.0,44.40445844661571,27.287644387542503,8.10864045472239
1818,2021-07-02,0.0,0.0,46.61769379966491,34.591126039672915,7.603892765697275
1819,2021-07-06,0.0,0.0,49.3073236420101,35.273860523318604,7.222105482595602
1820,2021-07-07,0.0,0.0,55.15818008829002,39.56073295896067,1.356241069882704
1821,2021-07-08,0.0,0.0,58.82036671417126,37.81696641882063,5.786709868934352
1822,2021-07-09,0.0,0.0,62.70412693592966,37.345213896345754,4.995045764413645
1823,2021-07-12,0.0,0.0,65.38895103388657,40.23540885325283,5.2435580089473754
1824,2021-07-13,0.0,0.0,67.29156719096605,40.134511561453934,5.021708647982025
1825,2021-07-14,0.0,0.0,67.69758350753781,39.130525326209195,4.952191685458775
1826,2021-07-15,0.0,0.0,68.07813650013433,37.0695158458075,6.34360820144577
1827,2021-07-16,0.0,0.0,69.81614327174812,38.550637568762866,4.762770612614348
1828,2021-07-19,0.0,0.0,69.11019731405568,33.934995803559694,13.509592915296256
1829,2021-07-20,0.0,0.0,67.50558355782094,29.543906763980267,13.26310007195724
1830,2021-07-21,0.0,0.0,66.39860875290772,29.749327565649004,12.720794165765467
1831,2021-07-22,0.0,0.0,66.02995282824864,35.52488155494879,12.152329803610307
1832,2021-07-23,0.0,0.0,64.61471469653972,32.70199223607489,12.671750883275642
1833,2021-07-26,0.0,0.0,62.89546003088128,31.471234633330987,12.87292580742683
1834,2021-07-27,0.0,0.0,57.68641839864303,27.696395827334584,18.29402929348206
1835,2021-07-28,0.0,0.0,54.77137533440662,28.052953620044825,14.244171306171898
1836,2021-07-29,0.0,0.0,51.183405024330895,25.663461168102508,15.01613283938961
1837,2021-07-30,0.0,0.0,46.438508379783215,23.044357927111907,18.660289936955525
1838,2021-08-02,-1.0,-1.0,41.06068602423004,18.7903505115299,19.741704878458503
1839,2021-08-03,0.0,0.0,35.813736384102576,18.158741131375685,19.701540263761373
1840,2021-08-04,1.0,1.0,30.81361950041827,18.686723247517616,18.399680605818645
1841,2021-08-05,0.0,0.0,25.43917457548523,19.817702837355274,18.75103029081238
1842,2021-08-06,0.0,0.0,24.6375897902001,21.19863252950802,10.9621991760871
1843,2021-08-09,0.0,0.0,24.571397575223443,24.33663535854716,11.163741194952898
1844,2021-08-10,0.0,0.0,23.009597592203644,23.373942215050995,16.165797996447807
1845,2021-08-11,0.0,0.0,20.301636287230526,13.502767854708065,16.87842951893551
1846,2021-08-12,0.0,0.0,19.317553741887505,9.054666896329664,16.952477408524707
1847,2021-08-13,0.0,0.0,16.84052807211787,14.736636143069559,17.04474988109631
1848,2021-08-16,0.0,0.0,17.591842225545836,19.218186110830022,10.130939398368188
1849,2021-08-17,0.0,0.0,18.030518636891887,19.14892771199285,8.445460665104656
1850,2021-08-18,0.0,0.0,19.748412369990465,24.42272531044462,8.092320780111098
1851,2021-08-19,0.0,0.0,24.615171533984896,26.57433065691906,3.1763609896137814
1852,2021-08-20,0.0,0.0,30.670825149612522,37.81356664374932,2.575155604499809
1853,2021-08-23,0.0,0.0,36.57674688419553,36.12621186376991,2.561538193850699
1854,2021-08-24,0.0,0.0,42.71398926234459,35.527586939161246,2.531831083647536
1855,2021-08-25,0.0,0.0,47.70159546263621,31.862247654078917,5.059769741824022
1856,2021-08-26,0.0,0.0,49.88217161475574,31.273637412317257,7.250907012789
1857,2021-08-27,0.0,0.0,50.45780733152463,27.91026475211299,10.542828730561958
1858,2021-08-30,0.0,0.0,53.97318824697968,32.933484645420535,6.402887924620337
1859,2021-08-31,0.0,0.0,58.07452746764274,34.18233383824692,6.383001916649446
1860,2021-09-01,0.0,0.0,60.74572534092026,33.18338094503145,6.376069606187975
1861,2021-09-02,0.0,0.0,64.12742888650163,28.82576438088258,8.463480175728616
1862,2021-09-03,0.0,0.0,65.57212626805678,26.85938965821594,8.671642582487426
1863,2021-09-07,0.0,0.0,65.11009085199777,27.114781671633697,13.868845389366971
1864,2021-09-08,0.0,0.0,63.27168111595309,25.423746173775747,15.422071520498113
1865,2021-09-09,0.0,0.0,59.14292239969924,25.09845883399846,16.44008669399966
1866,2021-09-10,-1.0,-1.0,55.14438997589508,11.018178080914113,21.043420299876846
1867,2021-09-13,0.0,0.0,51.30480069290291,11.668012172007534,23.163764636383746
1868,2021-09-14,0.0,0.0,46.28271503186704,16.40587953648756,22.836147800986137
1869,2021-09-15,1.0,1.0,41.745231540579155,23.221226167104223,19.360214290563686
1870,2021-09-16,0.0,0.0,38.07923380276488,22.773212128882466,18.247414454841365
1871,2021-09-17,0.0,0.0,35.96411598342341,22.115260272889255,16.161799140955736
1872,2021-09-20,-1.0,-1.0,33.641066819123964,14.739551397792145,30.559092616603884
1873,2021-09-21,0.0,0.0,31.760537308142396,12.32860037835415,30.332657196907757
1874,2021-09-22,0.0,0.0,29.23886401493551,14.990866649349766,29.400994898661104
1875,2021-09-23,0.0,0.0,27.208320834927296,15.98356710910855,27.31984385498697
1876,2021-09-24,0.0,0.0,25.545139377585762,15.855524988791176,28.12883429923081
1877,2021-09-27,0.0,0.0,25.549992221820105,15.06536754093663,29.498820364501476
1878,2021-09-28,0.0,0.0,27.24272718107931,13.46426908091285,38.505975619644225
1879,2021-09-29,0.0,0.0,29.58922447574302,11.707811348563016,38.86058979095091
1880,2021-09-30,0.0,0.0,31.1713415867463,11.457787795936566,37.736618512381504
1881,2021-10-01,0.0,0.0,31.920317096141428,13.47812308177587,34.22300676843886
1882,2021-10-04,0.0,0.0,34.74690486701039,9.507380528107413,33.667172131766584
1883,2021-10-05,0.0,0.0,38.48983496075574,7.874562540561296,32.998686545787585
1884,2021-10-06,0.0,0.0,41.046256242000474,11.072576638975463,30.571560103351374
1885,2021-10-07,0.0,0.0,42.37785955345392,14.680765186177522,29.938941133450754
1886,2021-10-08,0.0,0.0,40.79948404430662,16.008753938496266,20.71931742339749
1887,2021-10-11,0.0,0.0,38.08518729311815,18.65292042994565,20.28935420576508
1888,2021-10-12,0.0,0.0,36.80897340573722,15.97113548068067,21.429451789261073
1889,2021-10-13,0.0,0.0,35.68217101504743,17.174303128659556,21.162684764267077
1890,2021-10-14,1.0,1.0,34.32229603998968,23.263858379908083,19.47483627074775
1891,2021-10-15,0.0,0.0,33.77063488298039,25.346800377137026,15.317140270812171
1892,2021-10-18,0.0,0.0,36.072369246027066,32.04590278723278,3.4799369809192204
1893,2021-10-19,0.0,0.0,37.91803327111774,34.16699793289869,3.8947765940531056
1894,2021-10-20,0.0,0.0,39.90754291727942,35.374230013058934,3.654780802461486
