,Cash,Position,pnl,g_sl,g_tp,close,amount,multiplier,no_trades,no_wins
330,-0.07,0.0,-100.07,96.03,121.3,100.52,101.08,0.99,0.0,0.0
331,-0.07,0.0,-100.07,96.03,121.3,99.07,101.08,0.99,0.0,0.0
332,-0.07,0.0,-100.07,96.03,121.3,98.85,101.08,0.99,0.0,0.0
333,-0.07,0.0,-100.07,96.03,121.3,99.79,101.08,0.99,0.0,0.0
334,-0.07,0.0,-100.07,96.03,121.3,99.01,101.08,0.99,0.0,0.0
335,-0.07,0.0,-100.07,96.03,121.3,98.71,101.08,0.99,0.0,0.0
336,-0.07,0.0,-100.07,96.03,121.3,98.48,101.08,0.99,0.0,0.0
337,-0.07,0.0,-100.07,96.03,121.3,98.81,101.08,0.99,0.0,0.0
338,-0.07,0.0,-100.07,96.03,121.3,99.87,101.08,0.99,0.0,0.0
339,-0.07,0.0,-100.07,96.03,121.3,99.37,101.08,0.99,0.0,0.0
340,-0.07,0.0,-100.07,96.03,121.3,99.31,101.08,0.99,0.0,0.0
341,-0.07,0.0,-100.07,96.03,121.3,98.79,101.08,0.99,0.0,0.0
342,95.0,0.0,-5.0,0.0,0.0,95.56,0.0,0.0,1.0,0.0
343,95.0,0.0,-5.0,0.0,0.0,92.82,0.0,0.0,1.0,0.0
344,95.0,0.0,-5.0,0.0,0.0,90.73,0.0,0.0,1.0,0.0
345,95.0,0.0,-5.0,0.0,0.0,95.11,0.0,0.0,1.0,0.0
346,95.0,0.0,-5.0,0.0,0.0,96.22,0.0,0.0,1.0,0.0
347,95.0,0.0,-5.0,0.0,0.0,95.17,0.0,0.0,1.0,0.0
348,95.0,0.0,-5.0,0.0,0.0,93.98,0.0,0.0,1.0,0.0
349,95.0,0.0,-5.0,0.0,0.0,92.09,0.0,0.0,1.0,0.0
350,95.0,0.0,-5.0,0.0,0.0,93.35,0.0,0.0,1.0,0.0
351,95.0,0.0,-5.0,0.0,0.0,92.64,0.0,0.0,1.0,0.0
352,95.0,0.0,-5.0,0.0,0.0,91.31,0.0,0.0,1.0,0.0
353,95.0,0.0,-5.0,0.0,0.0,93.94,0.0,0.0,1.0,0.0
354,95.0,0.0,-5.0,0.0,0.0,92.22,0.0,0.0,1.0,0.0
355,95.0,0.0,-5.0,0.0,0.0,92.72,0.0,0.0,1.0,0.0
356,95.0,0.0,-5.0,0.0,0.0,92.93,0.0,0.0,1.0,0.0
