,Date,signal,signal_rsi,rsi
1911,2021-11-12,-1.0,-1.0,80.92146824964593
1912,2021-11-15,-1.0,-1.0,78.90869471835478
1913,2021-11-16,-1.0,-1.0,73.15759198308032
1914,2021-11-17,-1.0,-1.0,71.41197466927505
1915,2021-11-18,0.0,0.0,66.4283034963741
1916,2021-11-19,-1.0,-1.0,73.72234083135038
1917,2021-11-22,0.0,0.0,61.76260376561904
1918,2021-11-23,0.0,0.0,56.182781364594675
1919,2021-11-24,0.0,0.0,52.66787703030376
1920,2021-11-26,1.0,1.0,40.98869988310233
1921,2021-11-29,1.0,1.0,49.565445473648225
1922,2021-11-30,1.0,1.0,44.22661862226701
1923,2021-12-01,1.0,1.0,49.138343477844835
1924,2021-12-02,1.0,1.0,46.391754121815474
1925,2021-12-03,1.0,1.0,34.032163931839136
1926,2021-12-06,1.0,1.0,39.13330388538393
1927,2021-12-07,1.0,1.0,45.47783883962315
1928,2021-12-08,1.0,1.0,45.883759576471014
1929,2021-12-09,1.0,1.0,41.85120475326604
1930,2021-12-10,1.0,1.0,49.506342717676254
1931,2021-12-13,1.0,1.0,49.626677830121196
1932,2021-12-14,1.0,1.0,42.977449585213535
1933,2021-12-15,1.0,1.0,47.75419606088714
1934,2021-12-16,1.0,1.0,46.77462996924768
1935,2021-12-17,1.0,1.0,40.600720080700555
1936,2021-12-20,1.0,1.0,41.92133387258513
1937,2021-12-21,1.0,1.0,48.08826973585158
1938,2021-12-22,0.0,0.0,52.36941053384922
1939,2021-12-23,0.0,0.0,57.9672541752467
1940,2021-12-27,0.0,0.0,60.439142749215115
1941,2021-12-28,0.0,0.0,54.498923968074315
1942,2021-12-29,0.0,0.0,54.915498581792875
1943,2021-12-30,0.0,0.0,54.333889164607285
1944,2021-12-31,1.0,1.0,45.2388260737327
1945,2022-01-03,1.0,1.0,46.35294770941152
1946,2022-01-04,0.0,0.0,50.5733468781256
1947,2022-01-05,1.0,1.0,35.89190702488395
1948,2022-01-06,1.0,1.0,40.41740594354729
1949,2022-01-07,1.0,1.0,41.37201697026857
1950,2022-01-10,1.0,1.0,44.669175760400776
1951,2022-01-11,1.0,1.0,36.68614913794355
1952,2022-01-12,1.0,1.0,32.882346066830735
1953,2022-01-13,1.0,1.0,23.115668098029502
1954,2022-01-14,1.0,1.0,19.706955800857912
1955,2022-01-18,1.0,1.0,17.606600150897478
1956,2022-01-19,1.0,1.0,17.578905784451507
1957,2022-01-20,1.0,1.0,17.848620127969895
1958,2022-01-21,1.0,1.0,17.099459974032897
1959,2022-01-24,1.0,1.0,18.01666259765625
1960,2022-01-25,1.0,1.0,17.396194094501325
1961,2022-01-26,1.0,1.0,32.96378859827975
1962,2022-01-27,1.0,1.0,37.97120910967239
1963,2022-01-28,1.0,1.0,45.66196595976647
1964,2022-01-31,1.0,1.0,47.6197541462105
1965,2022-02-01,1.0,1.0,45.59614913419044
1966,2022-02-02,1.0,1.0,46.66111647770604
1967,2022-02-03,1.0,1.0,47.49188440494836
1968,2022-02-04,1.0,1.0,46.95974171133663
1969,2022-02-07,1.0,1.0,48.74075373478811
1970,2022-02-08,0.0,0.0,50.87321570865334
1971,2022-02-09,0.0,0.0,56.37690010967701
1972,2022-02-10,0.0,0.0,54.0389325479999
1973,2022-02-11,1.0,1.0,49.223229018842055
1974,2022-02-14,0.0,0.0,54.18542705404168
1975,2022-02-15,0.0,0.0,52.506006295525204
1976,2022-02-16,1.0,1.0,49.766678185111886
1977,2022-02-17,1.0,1.0,38.02758131393701
1978,2022-02-18,1.0,1.0,34.27477499047497
1979,2022-02-22,1.0,1.0,35.24128302381169
1980,2022-02-23,1.0,1.0,27.583400870800475
1981,2022-02-24,1.0,1.0,45.62647422498602
1982,2022-02-25,1.0,1.0,44.18227931017169
1983,2022-02-28,1.0,1.0,48.47155140803676
1984,2022-03-01,1.0,1.0,43.22190480618397
1985,2022-03-02,1.0,1.0,42.0696694939784
1986,2022-03-03,1.0,1.0,45.024653327999495
1987,2022-03-04,1.0,1.0,45.9302172241971
1988,2022-03-07,1.0,1.0,39.2085899490555
1989,2022-03-08,1.0,1.0,32.93596470892818
1990,2022-03-09,1.0,1.0,43.43832078333541
1991,2022-03-10,1.0,1.0,46.70342919461958
1992,2022-03-11,1.0,1.0,45.12891294924353
1993,2022-03-14,1.0,1.0,43.29369919104837
1994,2022-03-15,0.0,0.0,53.93773239265398
1995,2022-03-16,1.0,1.0,49.87544737637396
1996,2022-03-17,1.0,1.0,48.66692386721136
1997,2022-03-18,0.0,0.0,50.998529492100616
1998,2022-03-21,0.0,0.0,52.64613055699309
1999,2022-03-22,0.0,0.0,52.442871497084205
2000,2022-03-23,0.0,0.0,52.24498662960494
2001,2022-03-24,0.0,0.0,59.12120597262801
2002,2022-03-25,0.0,0.0,68.33998923546983
2003,2022-03-28,-1.0,-1.0,74.37403552058947
2004,2022-03-29,-1.0,-1.0,71.17230205238461
2005,2022-03-30,-1.0,-1.0,72.72871364477052
2006,2022-03-31,-1.0,-1.0,72.69364820735068
2007,2022-04-01,-1.0,-1.0,77.62142996987605
2008,2022-04-04,-1.0,-1.0,75.50420553635696
2009,2022-04-05,0.0,0.0,66.04396335278761
2010,2022-04-06,0.0,0.0,53.454953585616444
2011,2022-04-07,0.0,0.0,50.802049363453705
2012,2022-04-08,1.0,1.0,48.22614533535696
2013,2022-04-11,1.0,1.0,36.28539752083785
2014,2022-04-12,1.0,1.0,37.025471734116955
2015,2022-04-13,1.0,1.0,37.90369584218318
2016,2022-04-14,1.0,1.0,34.20320602250034
2017,2022-04-18,1.0,1.0,28.18101388426186
2018,2022-04-19,1.0,1.0,28.253639252572995
2019,2022-04-20,1.0,1.0,29.9970876441528
2020,2022-04-21,1.0,1.0,29.9970876441528
2021,2022-04-22,1.0,1.0,26.219575714872818
2022,2022-04-25,1.0,1.0,27.3328884619704
2023,2022-04-26,1.0,1.0,25.195212358950243
2024,2022-04-27,1.0,1.0,40.26082711486158
2025,2022-04-28,1.0,1.0,43.33863431406095
2026,2022-04-29,1.0,1.0,39.85181637357102
2027,2022-05-02,1.0,1.0,49.56626319498503
2028,2022-05-03,1.0,1.0,49.845407082327036
2029,2022-05-04,0.0,0.0,51.2661023536835
2030,2022-05-05,1.0,1.0,48.73522058310839
2031,2022-05-06,1.0,1.0,47.104143148367825
2032,2022-05-09,1.0,1.0,40.16518419610966
2033,2022-05-10,1.0,1.0,42.280231665151966
2034,2022-05-11,1.0,1.0,41.003555863923175
2035,2022-05-12,1.0,1.0,41.58711082694275
2036,2022-05-13,1.0,1.0,41.099003564262475
2037,2022-05-16,1.0,1.0,45.63913035648278
2038,2022-05-17,1.0,1.0,41.11593727072574
2039,2022-05-18,1.0,1.0,31.97811325530209
2040,2022-05-19,1.0,1.0,36.06221659124221
2041,2022-05-20,1.0,1.0,30.324342653187117
