,Date,signal,rsi
1458,2020-01-29,0.0,66.96541667942031
1459,2020-01-30,0.0,70.42414397479298
1460,2020-01-31,0.0,65.89201671755654
1461,2020-02-03,0.0,68.38965800721783
1462,2020-02-04,0.0,75.86997430100128
1463,2020-02-05,0.0,74.63168088391193
1464,2020-02-06,0.0,75.17299214930013
1465,2020-02-07,0.0,74.68388846241679
1466,2020-02-10,0.0,79.04236967055482
1467,2020-02-11,0.0,72.48080845207888
1468,2020-02-12,0.0,71.97654777140825
1469,2020-02-13,0.0,73.19256326426631
1470,2020-02-14,0.0,79.47866655436073
1471,2020-02-18,0.0,78.77345590922326
1472,2020-02-19,0.0,77.25213007057513
1473,2020-02-20,0.0,67.41472176450418
1474,2020-02-21,0.0,61.389647555205016
1475,2020-02-24,0.0,45.66458780592936
1476,2020-02-25,1.0,33.86017663086797
1477,2020-02-26,1.0,37.59244882114984
1478,2020-02-27,1.0,23.193566553690914
1479,2020-02-28,1.0,28.56581671029454
1480,2020-03-02,1.0,36.04629937428504
1481,2020-03-03,1.0,33.67195369807591
1482,2020-03-04,1.0,39.401192926864695
1483,2020-03-05,1.0,37.55707349956301
1484,2020-03-06,1.0,33.74350291302325
1485,2020-03-09,1.0,27.733853776601052
1486,2020-03-10,1.0,35.74518781297142
1487,2020-03-11,1.0,34.11085071726073
1488,2020-03-12,1.0,31.288461160655984
1489,2020-03-13,0.0,44.87680700602625
1490,2020-03-16,1.0,38.19509598117616
1491,2020-03-17,0.0,41.99131800626694
1492,2020-03-18,0.0,43.71820502707485
1493,2020-03-19,0.0,43.107150221840904
1494,2020-03-20,1.0,36.8331213302193
1495,2020-03-23,1.0,38.82666948408902
1496,2020-03-24,0.0,41.712069674518425
1497,2020-03-25,0.0,42.6218270508533
1498,2020-03-26,0.0,47.98702114773441
1499,2020-03-27,0.0,49.649070137430314
1500,2020-03-30,0.0,49.73726215310702
1501,2020-03-31,0.0,51.61213848569064
1502,2020-04-01,0.0,55.549883966027046
1503,2020-04-02,0.0,48.23179504046487
1504,2020-04-03,0.0,61.65632282073974
1505,2020-04-06,0.0,61.79661307353999
1506,2020-04-07,0.0,65.42006704735849
1507,2020-04-08,0.0,65.10781609909247
1508,2020-04-09,0.0,70.18155191102784
1509,2020-04-13,0.0,71.76124495571463
1510,2020-04-14,0.0,69.91206784221046
1511,2020-04-15,0.0,69.47566938799322
1512,2020-04-16,0.0,67.42715034733145
1513,2020-04-17,0.0,76.17756044432957
1514,2020-04-20,0.0,65.38063591928949
1515,2020-04-21,0.0,59.550354169531474
1516,2020-04-22,0.0,70.18670231560823
1517,2020-04-23,0.0,65.54444953266639
1518,2020-04-24,0.0,69.29955667640334
1519,2020-04-27,0.0,60.27140943546038
1520,2020-04-28,0.0,56.99114213731764
1521,2020-04-29,0.0,62.01640245524028
1522,2020-04-30,0.0,63.28612283336773
1523,2020-05-01,0.0,57.916821223417465
1524,2020-05-04,0.0,54.821762753612944
1525,2020-05-05,0.0,58.31459560072616
1526,2020-05-06,0.0,55.497798732929205
1527,2020-05-07,0.0,55.04846327538774
1528,2020-05-08,0.0,60.22098981753003
1529,2020-05-11,0.0,72.58833461036367
1530,2020-05-12,0.0,61.12346279441398
1531,2020-05-13,0.0,60.14121895625778
1532,2020-05-14,0.0,57.72209863431531
1533,2020-05-15,0.0,61.15054571153541
1534,2020-05-18,0.0,69.68196018873789
1535,2020-05-19,0.0,59.68146225048417
1536,2020-05-20,0.0,59.99379624152476
1537,2020-05-21,0.0,64.83586845765717
1538,2020-05-22,0.0,59.09620753832086
1539,2020-05-26,0.0,51.576512766234146
1540,2020-05-27,0.0,48.488622255077516
1541,2020-05-28,0.0,45.319122963763405
1542,2020-05-29,0.0,47.05399356201588
1543,2020-06-01,0.0,41.36101896054146
1544,2020-06-02,0.0,55.8593985741075
1545,2020-06-03,0.0,65.43753763261185
1546,2020-06-04,0.0,56.02622079919731
1547,2020-06-05,0.0,59.404083076593125
1548,2020-06-08,0.0,58.25753242949308
1549,2020-06-09,0.0,64.65557547372919
1550,2020-06-10,0.0,71.45048680577199
1551,2020-06-11,0.0,54.12792639581407
1552,2020-06-12,0.0,55.909490895882016
1553,2020-06-15,0.0,60.51354876458182
1554,2020-06-16,0.0,64.90873356701255
1555,2020-06-17,0.0,66.1713004832462
1556,2020-06-18,0.0,66.36615291961479
1557,2020-06-19,0.0,65.14256349856807
1558,2020-06-22,0.0,67.78736564507003
1559,2020-06-23,0.0,68.42573600437335
1560,2020-06-24,0.0,66.02921200886416
1561,2020-06-25,0.0,64.67827529417303
1562,2020-06-26,0.0,58.37008880926358
1563,2020-06-29,0.0,58.9478012401081
1564,2020-06-30,0.0,57.20146439523515
1565,2020-07-01,0.0,74.9525874642496
1566,2020-07-02,0.0,75.01347817771747
1567,2020-07-06,0.0,77.02431815881948
1568,2020-07-07,0.0,69.27519181667668
1569,2020-07-08,0.0,72.13620760954967
1570,2020-07-09,0.0,71.73911761497165
1571,2020-07-10,0.0,72.65165747021497
1572,2020-07-13,0.0,57.72705703435296
1573,2020-07-14,0.0,57.66666957310269
1574,2020-07-15,0.0,63.33681417758368
1575,2020-07-16,0.0,54.49071973938323
1576,2020-07-17,0.0,58.87774892942366
1577,2020-07-20,0.0,65.12644099093032
