,Cash,Position,pnl,g_sl,g_tp,close,no_trades,no_wins
255,10000,0.0,0,0,0,15,0.0,0.0
256,10000,0.0,0,0,0,15,0.0,0.0
257,10000,0.0,0,0,0,15,0.0,0.0
258,10000,0.0,0,0,0,15,0.0,0.0
259,10000,0.0,0,0,0,15,0.0,0.0
260,10000,0.0,0,0,0,15,0.0,0.0
261,10000,0.0,0,0,0,15,0.0,0.0
262,10000,0.0,0,0,0,15,0.0,0.0
263,10000,0.0,0,0,0,15,0.0,0.0
264,10000,0.0,0,0,0,16,0.0,0.0
265,10000,0.0,0,0,0,16,0.0,0.0
266,10000,0.0,0,0,0,16,0.0,0.0
267,10000,0.0,0,0,0,16,0.0,0.0
268,10000,0.0,0,0,0,16,0.0,0.0
269,10000,0.0,0,0,0,16,0.0,0.0
270,10000,0.0,0,0,0,16,0.0,0.0
271,10000,0.0,0,0,0,16,0.0,0.0
272,10000,0.0,0,0,0,16,0.0,0.0
273,10000,0.0,0,0,0,16,0.0,0.0
274,10000,0.0,0,0,0,16,0.0,0.0
275,10000,0.0,0,0,0,16,0.0,0.0
276,10000,0.0,0,0,0,16,0.0,0.0
277,10000,0.0,0,0,0,16,0.0,0.0
278,10000,0.0,0,0,0,16,0.0,0.0
279,10000,0.0,0,0,0,16,0.0,0.0
280,10000,0.0,0,0,0,16,0.0,0.0
281,10000,0.0,0,0,0,16,0.0,0.0
282,10000,0.0,0,0,0,16,0.0,0.0
283,10000,0.0,0,0,0,16,0.0,0.0
284,10000,0.0,0,0,0,16,0.0,0.0
285,10000,0.0,0,0,0,16,0.0,0.0
286,10000,0.0,0,0,0,16,0.0,0.0
287,10000,0.0,0,0,0,16,0.0,0.0
288,10000,0.0,0,0,0,17,0.0,0.0
289,10000,0.0,0,0,0,17,0.0,0.0
290,10000,0.0,0,0,0,17,0.0,0.0
291,10000,0.0,0,0,0,17,0.0,0.0
292,10000,0.0,0,0,0,17,0.0,0.0
293,10000,0.0,0,0,0,17,0.0,0.0
294,10000,0.0,0,0,0,17,0.0,0.0
295,10000,0.0,0,0,0,17,0.0,0.0
296,10000,0.0,0,0,0,17,0.0,0.0
297,10000,0.0,0,0,0,17,0.0,0.0
298,10000,0.0,0,0,0,17,0.0,0.0
299,10000,0.0,0,0,0,17,0.0,0.0
300,10000,0.0,0,0,0,17,0.0,0.0
301,10000,0.0,0,0,0,17,0.0,0.0
302,10000,0.0,0,0,0,17,0.0,0.0
303,10000,0.0,0,0,0,17,0.0,0.0
304,10000,0.0,0,0,0,16,0.0,0.0
305,10000,0.0,0,0,0,17,0.0,0.0
306,10000,0.0,0,0,0,17,0.0,0.0
307,10000,0.0,0,0,0,17,0.0,0.0
308,10000,0.0,0,0,0,16,0.0,0.0
309,10000,0.0,0,0,0,16,0.0,0.0
310,10000,0.0,0,0,0,16,0.0,0.0
311,10000,0.0,0,0,0,16,0.0,0.0
312,10000,0.0,0,0,0,16,0.0,0.0
313,10000,0.0,0,0,0,17,0.0,0.0
314,10000,0.0,0,0,0,17,0.0,0.0
315,10000,0.0,0,0,0,17,0.0,0.0
316,10000,0.0,0,0,0,17,0.0,0.0
317,10000,0.0,0,0,0,18,0.0,0.0
318,10000,0.0,0,0,0,18,0.0,0.0
319,10000,0.0,0,0,0,18,0.0,0.0
320,10000,0.0,0,0,0,18,0.0,0.0
321,10000,0.0,0,0,0,18,0.0,0.0
