,Date,signal,short_mavg,long_mavg,momentum,rsi,adx,+DI,-DI
755,2017-04-12,-1.0,65.66499938964844,65.03433418273926,-0.18000030517578125,57.758609349925024,20.166520724167334,17.608731347368106,12.717458548324768
756,2017-04-13,-1.0,65.65199966430664,65.05433413187663,-0.55999755859375,49.39746484828615,19.801070341465316,18.68366298182796,12.420436073893312
757,2017-04-17,-1.0,65.59099960327148,65.0893341064453,-0.5699996948242188,56.551753167487476,22.607665345323475,19.36195124407757,7.700733143367927
758,2017-04-18,-1.0,65.54300003051758,65.1346674601237,-0.26999664306640625,51.785670494952385,25.474560370794826,19.61455121079879,7.936473610684612
759,2017-04-19,1.0,65.56900024414062,65.18333409627279,0.23000335693359375,42.76099638570001,27.380167141162357,18.619990022453656,10.62433200995749
760,2017-04-20,1.0,65.48499984741211,65.22333399454753,0.1699981689453125,46.70850443529775,27.365005677899443,13.232126558669007,10.520627927740811
761,2017-04-21,1.0,65.49199981689453,65.23933385213216,0.6299972534179688,56.85275944131504,28.152280695846105,20.143900123027077,9.969192263329697
762,2017-04-24,1.0,65.65500030517578,65.31833394368489,2.1500015258789062,70.79816510820541,30.450876410347536,28.51570881911165,6.9336659275683665
763,2017-04-25,1.0,65.88400039672851,65.41466725667318,2.25,72.03203409110097,33.12707182340329,32.28967828868542,7.827823418971226
764,2017-04-26,1.0,66.13200073242187,65.53300069173177,2.6200027465820312,73.210608103048,34.87732453284821,30.30001091004251,8.00003662112169
765,2017-04-27,1.0,66.40500106811524,65.65300064086914,2.4800033569335938,74.61232057628501,37.21322736244184,30.33268510811426,8.219222055085458
766,2017-04-28,1.0,66.76700134277344,65.79166742960612,1.4300003051757812,76.22638847702977,40.37978586736349,34.61885850510315,7.174919189956292
767,2017-05-01,-1.0,67.13100128173828,65.917333984375,0.779998779296875,81.80328688996173,42.162459263904246,36.247917783874385,6.1120653252402155
768,2017-05-02,-1.0,67.56900100708008,66.07733383178712,1.6299972534179688,81.00643419349645,47.105989818773956,38.189662826756816,1.8103371732431837
769,2017-05-03,-1.0,67.94200057983399,66.21700032552083,1.2299957275390625,81.40285983474243,51.35260478684611,38.16344265161098,5.30747693826551
770,2017-05-04,-1.0,68.2990005493164,66.38066685994467,0.1199951171875,81.53589923232465,55.00797943547344,36.666688974849755,6.140327394894996
771,2017-05-05,-1.0,68.62200088500977,66.51266682942709,0.220001220703125,80.44976418861215,56.51896808418236,36.666688974849755,7.9824925379127585
